code,sample_number,paper_name,reading,caliper,location,size,price_index,slug
155001,K1,アースボード,アースボード,330,20,四切,4,
070042,B2,アトモス,アトモス,65,-,-,9,
070042,B2,アトモス,アトモス,95,34-35,A4,9,
070042,B2,アトモス,アトモス,120,14-15,四切,9,
070006,C6,あららぎ,アララギ,55,-,-,8,
070006,C6,あららぎ,アララギ,65,-,-,8,
070006,C6,あららぎ,アララギ,80,-,-,8,
070006,C6,あららぎ,アララギ,110,15,四切,8,
070006,C6,あららぎ,アララギ,135,-,-,8,
070006,C6,あららぎ,アララギ,160,-,-,8,
010144,C11,ICHIMATSU,イチマツ,70,-,-,8,ichimatsu
010144,C11,ICHIMATSU,イチマツ,95,34-35,A4,8,ichimatsu
010144,C11,ICHIMATSU,イチマツ,175,18,四切,8,ichimatsu
090002,D4,色PHO,イロピーエイチオー,110,38,A4,6,
090002,D4,色PHO,イロピーエイチオー,130,39,A4,6,
090002,D4,色PHO,イロピーエイチオー,175,-,-,6,
090002,D4,色PHO,イロピーエイチオー,225,-,-,6,
010059,C-4,岩はだ,イワハダ,100,-,-,8,
010059,C-4,岩はだ,イワハダ,130,18,四切,8,
010059,C-4,岩はだ,イワハダ,170,-,-,8,
680007,J-4,エアクリーンペーパー,エアクリーンペーパー,52,-,-,10,
680007,J-4,エアクリーンペーパー,エアクリーンペーパー,73,22,四切,10,
010141,D7,エアラス,エアラス,80,-,-,6,
010141,D7,エアラス,エアラス,100,-,-,6,
010141,D7,エアラス,エアラス,120,-,-,6,
010141,D7,エアラス,エアラス,140,-,-,6,
010141,D7,エアラス,エアラス,170,21,四切,6,
010141,D7,エアラス,エアラス,200,-,-,6,
010141,D7,エアラス,エアラス,230,-,-,6,
100067,E2,HSKアイボリーN,エイチエスケーアイボリーエヌ,180,22,四切,4,
100067,E2,HSKアイボリーN,エイチエスケーアイボリーエヌ,225,22,四切,4,
100067,E2,HSKアイボリーN,エイチエスケーアイボリーエヌ,265,22,四切,4,
100067,E2,HSKアイボリーN,エイチエスケーアイボリーエヌ,310,22,四切,4,
100067,E2,HSKアイボリーN,エイチエスケーアイボリーエヌ,360,22,四切,4,
100067,E2,HSKアイボリーN,エイチエスケーアイボリーエヌ,400,22,四切,4,
230021,J3,HSKクッションF,エイチエスケークッションエフ,0.6(mm),20,四切,4,
230021,J3,HSKクッションF,エイチエスケークッションエフ,0.8(mm),20,四切,4,
230021,J3,HSKクッションF,エイチエスケークッションエフ,1.0(mm),20,四切,4,
410005,D1,Aプラン,エープラン,55,-,-,4,
410005,D1,Aプラン,エープラン,68.5,38-39,A4,4,
410005,D1,Aプラン,エープラン,86,-,-,4,
410005,D1,Aプラン,エープラン,103,21,四切,4,
410005,D1,Aプラン,エープラン,135,-,-,4,
410005,D1,Aプラン,エープラン,160,-,-,4,
020148,K1,エコ間伐紙Ｎ,エコカンバツシエヌ,55,38,A4,5,
020148,K1,エコ間伐紙Ｎ,エコカンバツシエヌ,70,38,A4,5,
020148,K1,エコ間伐紙Ｎ,エコカンバツシエヌ,90,39,A4,5,
020148,K1,エコ間伐紙Ｎ,エコカンバツシエヌ,110,39,A4,5,
020148,K1,エコ間伐紙Ｎ,エコカンバツシエヌ,135,20,四切,5,
020148,K1,エコ間伐紙Ｎ,エコカンバツシエヌ,160,20,四切,5,
020148,K1,エコ間伐紙Ｎ,エコカンバツシエヌ,265,20,四切,5,
020148,K1,エコ間伐紙Ｎ,エコカンバツシエヌ,360,20,四切,5,
070239,A3,エコラシャ,エコラシャ,100,30-31,A4,6,
070239,A3,エコラシャ,エコラシャ,130,-,-,6,
070239,A3,エコラシャ,エコラシャ,180,-,-,6,
230101,D8,エスティムNS,エスティムエヌエス,90,-,-,4,
230101,D8,エスティムNS,エスティムエヌエス,107.5,-,-,4,
230101,D8,エスティムNS,エスティムエヌエス,128,-,-,4,
230101,D8,エスティムNS,エスティムエヌエス,155,22,四切,4,
230101,D8,エスティムNS,エスティムエヌエス,180,-,-,4,
070029,D3,エナジー,エナジー,65,-,-,8,
070029,D3,エナジー,エナジー,90,-,-,8,
070029,D3,エナジー,エナジー,110,-,-,8,
070029,D3,エナジー,エナジー,135,-,-,8,
070029,D3,エナジー,エナジー,160,-,-,8,
070029,D3,エナジー,エナジー,190,21,四切,8,
100120,K1,LPマット,エルピーマット,0.5(mm),20,四切,4,
100120,K1,LPマット,エルピーマット,0.8(mm),20,四切,4,
100120,K1,LPマット,エルピーマット,1.0(mm),20,四切,4,
070202,B5,OKサンドカラー,オーケーサンドカラー,70,-,-,9,
070202,B5,OKサンドカラー,オーケーサンドカラー,90,34-35,A4,9,
070202,B5,OKサンドカラー,オーケーサンドカラー,120,-,-,9,
070202,B5,OKサンドカラー,オーケーサンドカラー,170,-,-,9,
070204,B5,OKフェザーワルツ,オーケーフェザーワルツ,70,-,-,9,
070204,B5,OKフェザーワルツ,オーケーフェザーワルツ,90,34-35,A4,9,
070204,B5,OKフェザーワルツ,オーケーフェザーワルツ,120,-,-,9,
070204,B5,OKフェザーワルツ,オーケーフェザーワルツ,170,-,-,9,
070217,A4,OKミューズコットン,オーケーミューズコットン,73,-,-,8,
070217,A4,OKミューズコットン,オーケーミューズコットン,90,-,-,8,
070217,A4,OKミューズコットン,オーケーミューズコットン,118,6-9,四切,8,
070217,A4,OKミューズコットン,オーケーミューズコットン,163,-,-,8,
070219,G3,OKミューズパール,オーケーミューズパール,95,-,-,10,
070219,G3,OKミューズパール,オーケーミューズパール,125,19,四切,10,
070219,G3,OKミューズパール,オーケーミューズパール,170,-,-,10,
070218,G3,OKミューズラフィーネ,オーケーミューズラフィーネ,C118,36-37,A4,10,
070218,G3,OKミューズラフィーネ,オーケーミューズラフィーネ,C163,-,-,10,
070218,G3,OKミューズラフィーネ,オーケーミューズラフィーネ,M100,36,A4,10,
070218,G3,OKミューズラフィーネ,オーケーミューズラフィーネ,N120,37,A4,10,
070216,D1,OKミューズリンター,オーケーミューズリンター,90,-,-,10,
070216,D1,OKミューズリンター,オーケーミューズリンター,120,-,-,10,
070216,D1,OKミューズリンター,オーケーミューズリンター,170,38,A4,10,
070216,D1,OKミューズリンター,オーケーミューズリンター,200,-,-,10,
070220,G3,OKムーンカラー,オーケームーンカラー,F90 ,36-37,A4,10,
070220,G3,OKムーンカラー,オーケームーンカラー,F120,-,-,10,
070220,G3,OKムーンカラー,オーケームーンカラー,F170,-,-,10,
070220,G3,OKムーンカラー,オーケームーンカラー,F210,-,-,10,
070221,G3,OKメタルスウィート,オーケーメタルスウィート,B90,-,-,10,
070221,G3,OKメタルスウィート,オーケーメタルスウィート,B120,19,四切,10,
070221,G3,OKメタルスウィート,オーケーメタルスウィート,B180,-,-,10,
020072,A7,ガイアA,ガイアエー,70,-,-,8,
020072,A7,ガイアA,ガイアエー,100,32-33,A4,8,
020072,A7,ガイアA,ガイアエー,130,-,-,8,
010135,C4,かぐや,カグヤ,90,36-37,A4,8,
010135,C4,かぐや,カグヤ,130,-,-,8,
010135,C4,かぐや,カグヤ,170,-,-,8,
323001,A8,キュリアススキンN,キュリアススキンエヌ,94.5,-,-,10,
323001,A8,キュリアススキンN,キュリアススキンエヌ,189,10-12,四切,10,
323001,A8,キュリアススキンN,キュリアススキンエヌ,266,-,-,10,
323002,A8,キュリアスマターN,キュリアスマターエヌ,94.5,-,-,10,
323002,A8,キュリアスマターN,キュリアスマターエヌ,189,18-19,四切,10,
323002,A8,キュリアスマターN,キュリアスマターエヌ,266,-,-,10,
324001,G2,キュリアスメタルN,キュリアスメタルエヌ,88.1,-,-,10,
324001,G2,キュリアスメタルN,キュリアスメタルエヌ,144,-,-,10,
324001,G2,キュリアスメタルN,キュリアスメタルエヌ,220.3,19,四切,10,
070114,D1,グラフィーCoC,グラフィーシーオーシー,70,-,-,5,
070114,D1,グラフィーCoC,グラフィーシーオーシー,100,-,-,5,
070114,D1,グラフィーCoC,グラフィーシーオーシー,130,38-39,A4,5,
070114,D1,グラフィーCoC,グラフィーシーオーシー,160,21,四切,5,
070114,D1,グラフィーCoC,グラフィーシーオーシー,190,-,-,5,
070127,D3,グラフィーハンプ,グラフィーハンプ,90,38,A4,4,
070127,D3,グラフィーハンプ,グラフィーハンプ,130,38,A4,4,
070127,D3,グラフィーハンプ,グラフィーハンプ,180,39,A4,4,
070130,E2,グラフィーBOX,グラフィーボックス,211,22,四切,4,070130
070130,E2,グラフィーBOX,グラフィーボックス,253.5,22,四切,4,070130
130101,F1,ケンラン,ケンラン,135,-,-,5,
130101,F1,ケンラン,ケンラン,180,16-17,四切,5,
130101,F1,ケンラン,ケンラン,225,-,-,5,
130101,F1,ケンラン,ケンラン,265,-,-,5,
130101,F1,ケンラン,ケンラン,310,-,-,5,
130101,F1,ケンラン,ケンラン,360,-,-,5,
130101,F1,ケンラン,ケンラン,400,-,-,5,
070073,B4,五感紙,ゴカンシ,90,-,-,7,0700731
070073,B4,五感紙,ゴカンシ,110,32-33,A4,7,0700731
070073,B4,五感紙,ゴカンシ,135,-,-,7,0700731
070073,B4,五感紙,ゴカンシ,160,14,四切,7,0700731
070073,B4,五感紙,ゴカンシ,210,-,-,7,0700731
070073,B4,五感紙,ゴカンシ,310,-,-,7,0700731
020138,C11,コットンライフＳ,コットンライフエス,90,-,-,9,
020138,C11,コットンライフＳ,コットンライフエス,112,-,-,9,
020138,C11,コットンライフＳ,コットンライフエス,146,12-13,四切,9,
070017,C6,ことぶき,コトブキ,80,-,-,10,
070017,C6,ことぶき,コトブキ,110,16-17,四切,10,
070017,C6,ことぶき,コトブキ,160,-,-,10,
070009,D3,コンボス,コンボス,70,-,-,7,
070009,D3,コンボス,コンボス,90,-,-,7,
070009,D3,コンボス,コンボス,130,38,A4,7,
010104,A6,里紙,サトガミ,70,-,-,7,
010104,A6,里紙,サトガミ,100,-,-,7,
010104,A6,里紙,サトガミ,130,12-13,四切,7,
010104,A6,里紙,サトガミ,170,-,-,7,
030009,D6,GLトレーシング,ジーエルトレーシング,23.5,22,四切,10,
030009,D6,GLトレーシング,ジーエルトレーシング,28,22,四切,10,
030009,D6,GLトレーシング,ジーエルトレーシング,32,22,四切,10,
030009,D6,GLトレーシング,ジーエルトレーシング,36.5,22,四切,10,
030009,D6,GLトレーシング,ジーエルトレーシング,41,22,四切,10,
030009,D6,GLトレーシング,ジーエルトレーシング,45,22,四切,10,
030009,D6,GLトレーシング,ジーエルトレーシング,58,22,四切,10,
030009,D6,GLトレーシング,ジーエルトレーシング,66.5,22,四切,10,
030009,D6,GLトレーシング,ジーエルトレーシング,75,22,四切,10,
030009,D6,GLトレーシング,ジーエルトレーシング,84,22,四切,10,
070132,D8,ジェントルS,ジェントルエス,90,-,-,4,
070132,D8,ジェントルS,ジェントルエス,110,-,-,4,
070132,D8,ジェントルS,ジェントルエス,135,-,-,4,
070132,D8,ジェントルS,ジェントルエス,175,22,四切,4,
070132,D8,ジェントルS,ジェントルエス,215,-,-,4,
070133,E2,ジェントルBOX-S,ジェントルボックスエス,270,23,四切,4,
070133,E2,ジェントルBOX-S,ジェントルボックスエス,310,-,-,4,
190051,B2,しこくてんれい,シコクテンレイ,60,-,-,7,
190051,B2,しこくてんれい,シコクテンレイ,77.5,-,-,7,
190051,B2,しこくてんれい,シコクテンレイ,90,38-39,A4,7,
190051,B2,しこくてんれい,シコクテンレイ,110,-,-,7,
190051,B2,しこくてんれい,シコクテンレイ,135,-,-,7,
190051,B2,しこくてんれい,シコクテンレイ,180,-,-,7,
190093,I4,ジパング,ジパング,107.5,-,-,10,
190093,I4,ジパング,ジパング,187.5,19,四切,10,
190093,I4,ジパング,ジパング,268,-,-,10,
190093,I4,ジパング,ジパング,358.5,-,-,10,
070089,B2,新アトモス,シンアトモス,90,34-35,A4,9,
070089,B2,新アトモス,シンアトモス,115,16-17,四切,9,
070089,B2,新アトモス,シンアトモス,170,-,-,9,
020036,B1,新草木染,シンクサキゾメ,薄口,32-33,A4,8,
020036,B1,新草木染,シンクサキゾメ,並口,-,-,8,
020036,B1,新草木染,シンクサキゾメ,厚口,-,-,8,
020036,B1,新草木染,シンクサキゾメ,特厚口,-,-,8,
110101,G1,新シェルリンN,シンシェルリンエヌ,90,-,-,10,
